started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:19:53.450000+00:00,2023-12-01 06:26:39.100000+00:00,405,617,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118863,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-12-01 06:20:17.467000+00:00,2023-12-01 06:24:41.576000+00:00,264,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:20:19.910000+00:00,2023-12-01 06:31:27.720000+00:00,667,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117
2023-12-01 06:22:08.752000+00:00,2023-12-01 06:32:26.861000+00:00,618,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2023-12-01 06:23:43.886000+00:00,2023-12-01 06:29:31.395000+00:00,347,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939,2332,Krohgstøtten hospital,Hjørnet av Hausmannsgata and Storgata,59.91629601075576,10.757376666842816
2023-12-01 06:23:47.850000+00:00,2023-12-01 06:38:06.973000+00:00,859,565,Mailundveien,sør for Torshovdalen,59.9309181,10.7728203,378,Colosseum Kino,langs Fridtjof Nansens vei,59.92984300295666,10.711284727205708
2023-12-01 06:24:02.212000+00:00,2023-12-01 06:31:28.179000+00:00,445,2357,Aker Brygge 2 mot Rådhusplassen,ved plattform H i retning rådhuset,59.91111544486938,10.730396895054923,400,OsloMet,langs Pilestredet,59.919927,10.735428
2023-12-01 06:24:24.447000+00:00,2023-12-01 06:32:10.086000+00:00,465,558,Dokkveien,ved Støperigata,59.910974,10.7277001,427,Briskeby,ved Uranienborg skole,59.920218,10.717978
2023-12-01 06:25:19.082000+00:00,2023-12-01 06:45:58.255000+00:00,1239,402,Lørenveien,sør for Lørenparken,59.93087712510462,10.791823716034969,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2023-12-01 06:25:22.474000+00:00,2023-12-01 06:29:45.283000+00:00,262,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2023-12-01 06:25:32.417000+00:00,2023-12-01 06:28:45.465000+00:00,193,485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2023-12-01 06:25:52.525000+00:00,2023-12-01 06:34:49.786000+00:00,537,522,Mandalls gate,ved Grønlandsleiret,59.9123469,10.7638147,541,Langkaia,langs Rådhusgata,59.9080552,10.7479977
2023-12-01 06:26:21.421000+00:00,2023-12-01 06:29:40.758000+00:00,199,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804
2023-12-01 06:28:16.688000+00:00,2023-12-01 06:55:48.156000+00:00,1651,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,453,Frogner Stadion,ved hovedinngangen,59.92753764682686,10.710262803261259
